商品名称,SKU编码,仓库,采购价,建议零售价,库存数量,单位,规格,商品描述,备注
摇椅,001,美国仓,380,210.0,10,件,,尺寸:138*14*85/54*6*34; 重量:13/27磅; 链接:https://detail.1688.com/offer/830008174408.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying,
滚筒款2层-白架-黄木纹板,002,美国仓,200,110.0,10,件,,尺寸:105*65.5*7.5/41*26*3; 重量:9.02磅; 链接:https://detail.1688.com/offer/798693869623.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying,
滚筒款2层-黑架+古橡木板,003,美国仓,200,110.0,10,件,,,
滚筒款3层-白架-黄木纹板,004,美国仓,210,113.0,10,件,,尺寸:105*65.5*9/41*26*3.5; 重量:11.12磅,
【升级实木腿】大杉胡桃色40*35*70,005,美国仓,200,102.5,10,件,,"尺寸:49*43*13; 重量:7.3-7.95磅; 链接:https://detail.1688.com/offer/990934146072.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying
",
户外休闲多功能折叠床55.8黑+珍珠垫,006,美国仓,140,105.0,10,件,,尺寸:68*58*11; 重量:4.45/7.23磅; 链接:https://detail.1688.com/offer/1018018277885.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying,
洞洞板置物架黑色四层,007,美国仓,320,395.0,10,件,,尺寸:34*40*66; 重量:16.5磅; 链接:https://detail.1688.com/offer/670433059544.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying,
洞洞板置物架白色四层,008,美国仓,340,,10,件,,尺寸:34*40*66; 重量:16.5磅,
洞洞板置物架白色五层,009,美国仓,340,,10,件,,尺寸:44*40*76; 重量:18.5磅,
洞洞板置物架黑色五层,010,美国仓,340,,10,件,,尺寸:44*40*76; 重量:18.5磅,
多功能储物沥水篮白色55,011,美国仓,220,325.0,5,件,,尺寸:78*22*36; 重量:6.2/10.3磅; 链接:https://detail.1688.com/offer/965612554183.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying,
多功能储物沥水篮黑色55,012,美国仓,220,,5,件,,尺寸:78*22*36; 重量:6.2/10.3磅,
多功能储物沥水篮白色65,013,美国仓,220,,5,件,,尺寸:78*22*36; 重量:6.2/10.3磅,
多功能储物沥水篮黑色65,014,美国仓,220,,5,件,,尺寸:78*22*36; 重量:6.2/10.3磅,
马桶坐便改蹲便蹲,015,美国仓,130,95.0,10,件,,尺寸:44*50*11; 重量:4.25磅; 链接:https://detail.1688.com/offer/1032698251719.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying,
折叠可移动小推车置物架,016,美国仓,120,115.0,10,件,,"尺寸:73*50*12; 重量:3.65/7.3磅; 链接:https://detail.1688.com/offer/1008734793376.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying
",
厨房用品免安装折叠白色三层,017,美国仓,140,130.0,10,件,,尺寸:89*40*9; 重量:5/5.34磅; 链接:https://detail.1688.com/offer/617596918301.html?spm=a360q.7751291.0.0.5c6d29a8o1Hg34&sk=common&kj_agent_plugin=zying,
厨房用品免安装折叠黑色三层,018,美国仓,140,,10,件,,尺寸:89*40*9; 重量:5/5.34磅,
厨房用品免安装折叠白色四层,019,美国仓,140,,10,件,,尺寸:89*40*9; 重量:6/6.34磅,
厨房用品免安装折叠黑色四层,020,美国仓,140,,10,件,,尺寸:89*40*9; 重量:6/6.34磅,
灰色圆管【中宽-珍珠垫】,021,美国仓,190,210.0,10,件,,"尺寸:114*25*19; 重量:7.05/9.02磅; 链接:https://detail.1688.com/offer/1032752859966.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying
",
黑架+【雪山白岩板】60+45组合,022,美国仓,410,370.0,5,件,,"尺寸:64*64*48; 重量:18/33磅; 链接:https://detail.1688.com/offer/981427225298.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying
",
爆款:直径60cm【高度45cm】,023,美国仓,410,,5,件,,"尺寸:64*64*48; 重量:10/33磅; 链接:https://detail.1688.com/offer/985557020051.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying
",
滚筒洗衣机置物架三层,024,美国仓,180,110.0,5,件,,"尺寸:100*43*10; 重量:8磅; 链接:https://detail.1688.com/offer/1007006677518.html?spm=a360q.7751291.0.0.3cb229a8z6g1tu&sk=common&kj_agent_plugin=zying
",
滚筒洗衣机置物架二层,025,美国仓,160,110.0,5,件,,尺寸:100*43*10; 重量:6.1磅,
带挂钩洗衣机架两层黑色,026,美国仓,36,105.0,16,件,,尺寸:74.5*20*11; 重量:2.17磅; 链接:https://detail.1688.com/offer/887363901353.html?spm=a360q.8274423%2Fnew.goods.productname&kj_agent_plugin=zying,
带挂钩洗衣机架两层白色,027,美国仓,36,105.0,16,件,,尺寸:74.5*20*11; 重量:2.17磅,
旋转凳,028,美国仓,119,175.0,10,件,,尺寸:40*40*55; 重量:4磅; 链接:https://detail.1688.com/offer/974099206903.html?spm=a21i7k.1688_web_im.chatboxOD.0&kj_agent_plugin=zying,
